defect,count,min_N,example_seed,mcc_live_count,min_live_N,min_live_seed
17,2,52,"N=52 (p,q,r,s)=(24,45,28,7)",0,,
730,2,867,"N=867 (p,q,r,s)=(416,780,451,87)",2,867,"N=867 (p,q,r,s)=(416,780,451,87)"
1745,2,306916,"N=306916 (p,q,r,s)=(66585,145908,240331,161008)",0,,
2753,2,329476,"N=329476 (p,q,r,s)=(51867,230520,277609,98956)",0,,
5617,2,7800,"N=7800 (p,q,r,s)=(693,2924,7107,4876)",2,7800,"N=7800 (p,q,r,s)=(693,2924,7107,4876)"
5713,2,996,"N=996 (p,q,r,s)=(520,765,476,231)",2,996,"N=996 (p,q,r,s)=(520,765,476,231)"
9193,2,306456,"N=306456 (p,q,r,s)=(35535,41128,270921,265328)",2,306456,"N=306456 (p,q,r,s)=(35535,41128,270921,265328)"
10193,2,700,"N=700 (p,q,r,s)=(297,396,403,304)",0,,
11698,2,20625,"N=20625 (p,q,r,s)=(1704,20128,18921,497)",2,20625,"N=20625 (p,q,r,s)=(1704,20128,18921,497)"
11986,2,9375,"N=9375 (p,q,r,s)=(7072,7896,2303,1479)",2,9375,"N=9375 (p,q,r,s)=(7072,7896,2303,1479)"
12017,2,44944,"N=44944 (p,q,r,s)=(4365,42228,40579,2716)",0,,
14177,2,3364,"N=3364 (p,q,r,s)=(900,945,2464,2419)",0,,
18922,2,12675,"N=12675 (p,q,r,s)=(4884,8288,7791,4387)",2,12675,"N=12675 (p,q,r,s)=(4884,8288,7791,4387)"
24634,2,195,"N=195 (p,q,r,s)=(48,140,147,55)",2,195,"N=195 (p,q,r,s)=(48,140,147,55)"
35722,2,12675,"N=12675 (p,q,r,s)=(784,9588,11891,3087)",2,12675,"N=12675 (p,q,r,s)=(784,9588,11891,3087)"
51137,2,22472,"N=22472 (p,q,r,s)=(13260,14805,9212,7667)",0,,
60314,2,21125,"N=21125 (p,q,r,s)=(7524,12768,13601,8357)",0,,
69386,2,21125,"N=21125 (p,q,r,s)=(4416,17388,16709,3737)",0,,
120929,2,420500,"N=420500 (p,q,r,s)=(67896,404547,352604,15953)",0,,
143546,2,171125,"N=171125 (p,q,r,s)=(103584,152388,67541,18737)",0,,
151505,2,10952,"N=10952 (p,q,r,s)=(396,1155,10556,9797)",0,,
211553,2,399748,"N=399748 (p,q,r,s)=(46215,231756,353533,167992)",0,,
235418,2,21853,"N=21853 (p,q,r,s)=(5040,11220,16813,10633)",0,,
239857,2,58956,"N=58956 (p,q,r,s)=(1157,51480,57799,7476)",2,58956,"N=58956 (p,q,r,s)=(1157,51480,57799,7476)"
326993,2,174824,"N=174824 (p,q,r,s)=(51120,66975,123704,107849)",0,,
379738,2,14739,"N=14739 (p,q,r,s)=(5040,10780,9699,3959)",2,14739,"N=14739 (p,q,r,s)=(5040,10780,9699,3959)"
506417,2,11492,"N=11492 (p,q,r,s)=(3135,7524,8357,3968)",0,,
507809,2,740,"N=740 (p,q,r,s)=(168,315,572,425)",0,,
737281,2,907740,"N=907740 (p,q,r,s)=(449995,522192,457745,385548)",2,907740,"N=907740 (p,q,r,s)=(449995,522192,457745,385548)"
871690,2,1443,"N=1443 (p,q,r,s)=(644,960,799,483)",2,1443,"N=1443 (p,q,r,s)=(644,960,799,483)"
1432817,2,26588,"N=26588 (p,q,r,s)=(8856,16605,17732,9983)",0,,
1517266,2,2145,"N=2145 (p,q,r,s)=(920,2016,1225,129)",2,2145,"N=2145 (p,q,r,s)=(920,2016,1225,129)"
1826897,2,613832,"N=613832 (p,q,r,s)=(246675,540540,367157,73292)",0,,
1871857,2,504600,"N=504600 (p,q,r,s)=(313313,452016,191287,52584)",2,504600,"N=504600 (p,q,r,s)=(313313,452016,191287,52584)"
1911073,2,181548,"N=181548 (p,q,r,s)=(133480,151515,48068,30033)",2,181548,"N=181548 (p,q,r,s)=(133480,151515,48068,30033)"
1921298,2,239575,"N=239575 (p,q,r,s)=(47424,69768,192151,169807)",0,,
2202481,2,20280,"N=20280 (p,q,r,s)=(4795,8772,15485,11508)",2,20280,"N=20280 (p,q,r,s)=(4795,8772,15485,11508)"
2565721,2,11484,"N=11484 (p,q,r,s)=(3640,9867,7844,1617)",2,11484,"N=11484 (p,q,r,s)=(3640,9867,7844,1617)"
3529633,2,969252,"N=969252 (p,q,r,s)=(554775,714340,414477,254912)",2,969252,"N=969252 (p,q,r,s)=(554775,714340,414477,254912)"
3596905,2,301752,"N=301752 (p,q,r,s)=(19680,39721,282072,262031)",2,301752,"N=301752 (p,q,r,s)=(19680,39721,282072,262031)"
3771226,2,27189,"N=27189 (p,q,r,s)=(17424,17732,9765,9457)",2,27189,"N=27189 (p,q,r,s)=(17424,17732,9765,9457)"
4211729,2,196040,"N=196040 (p,q,r,s)=(9315,192708,186725,3332)",0,,
4521217,2,8400,"N=8400 (p,q,r,s)=(164,1677,8236,6723)",2,8400,"N=8400 (p,q,r,s)=(164,1677,8236,6723)"
4749649,2,564540,"N=564540 (p,q,r,s)=(360315,509936,204225,54604)",2,564540,"N=564540 (p,q,r,s)=(360315,509936,204225,54604)"
5150065,2,393132,"N=393132 (p,q,r,s)=(61215,151156,331917,241976)",2,393132,"N=393132 (p,q,r,s)=(61215,151156,331917,241976)"
5571578,2,285821,"N=285821 (p,q,r,s)=(245700,285120,40121,701)",0,,
6229393,2,410700,"N=410700 (p,q,r,s)=(42693,131824,368007,278876)",2,410700,"N=410700 (p,q,r,s)=(42693,131824,368007,278876)"
6844114,2,6015,"N=6015 (p,q,r,s)=(3432,5600,2583,415)",2,6015,"N=6015 (p,q,r,s)=(3432,5600,2583,415)"
7110353,2,77500,"N=77500 (p,q,r,s)=(15477,53064,62023,24436)",0,,
7822546,2,207831,"N=207831 (p,q,r,s)=(24928,117096,182903,90735)",2,207831,"N=207831 (p,q,r,s)=(24928,117096,182903,90735)"
8576465,2,292136,"N=292136 (p,q,r,s)=(152388,224595,139748,67541)",0,,
9751274,2,163285,"N=163285 (p,q,r,s)=(118800,134316,44485,28969)",0,,
10444513,2,629292,"N=629292 (p,q,r,s)=(61985,154020,567307,475272)",2,629292,"N=629292 (p,q,r,s)=(61985,154020,567307,475272)"
11323217,2,137924,"N=137924 (p,q,r,s)=(67260,70623,70664,67301)",0,,
11452753,2,282348,"N=282348 (p,q,r,s)=(15960,259675,266388,22673)",2,282348,"N=282348 (p,q,r,s)=(15960,259675,266388,22673)"
12312218,2,263917,"N=263917 (p,q,r,s)=(137700,194880,126217,69037)",0,,
12683378,2,60401,"N=60401 (p,q,r,s)=(12480,23400,47921,37001)",0,,
15559762,2,421377,"N=421377 (p,q,r,s)=(77280,138040,344097,283337)",2,421377,"N=421377 (p,q,r,s)=(77280,138040,344097,283337)"
17947346,2,987377,"N=987377 (p,q,r,s)=(67032,545376,920345,442001)",0,,
24181777,2,180708,"N=180708 (p,q,r,s)=(35511,71060,145197,109648)",2,180708,"N=180708 (p,q,r,s)=(35511,71060,145197,109648)"
24206881,2,225420,"N=225420 (p,q,r,s)=(155155,180048,70265,45372)",2,225420,"N=225420 (p,q,r,s)=(155155,180048,70265,45372)"
26085121,2,34500,"N=34500 (p,q,r,s)=(10153,26796,24347,7704)",2,34500,"N=34500 (p,q,r,s)=(10153,26796,24347,7704)"
26423905,2,90168,"N=90168 (p,q,r,s)=(2920,85239,87248,4929)",2,90168,"N=90168 (p,q,r,s)=(2920,85239,87248,4929)"
29059546,2,40365,"N=40365 (p,q,r,s)=(2740,37488,37625,2877)",2,40365,"N=40365 (p,q,r,s)=(2740,37488,37625,2877)"
29710529,2,285532,"N=285532 (p,q,r,s)=(216216,224037,69316,61495)",0,,
32732522,2,510899,"N=510899 (p,q,r,s)=(296100,416640,214799,94259)",0,,
32858305,2,242424,"N=242424 (p,q,r,s)=(7535,234552,234889,7872)",2,242424,"N=242424 (p,q,r,s)=(7535,234552,234889,7872)"
33821297,2,257372,"N=257372 (p,q,r,s)=(59364,173145,198008,84227)",0,,
33925018,2,110109,"N=110109 (p,q,r,s)=(21700,65520,88409,44589)",2,110109,"N=110109 (p,q,r,s)=(21700,65520,88409,44589)"
35714977,2,190200,"N=190200 (p,q,r,s)=(32147,53196,158053,137004)",2,190200,"N=190200 (p,q,r,s)=(32147,53196,158053,137004)"
40555441,2,6240,"N=6240 (p,q,r,s)=(711,3080,5529,3160)",2,6240,"N=6240 (p,q,r,s)=(711,3080,5529,3160)"
43847642,2,573221,"N=573221 (p,q,r,s)=(354900,411840,218321,161381)",0,,
45107057,2,280600,"N=280600 (p,q,r,s)=(65637,185484,214963,95116)",0,,
53197258,2,11997,"N=11997 (p,q,r,s)=(4704,11900,7293,97)",2,11997,"N=11997 (p,q,r,s)=(4704,11900,7293,97)"
55141697,2,43700,"N=43700 (p,q,r,s)=(7524,35343,36176,8357)",0,,
60608353,2,11352,"N=11352 (p,q,r,s)=(4935,6944,6417,4408)",2,11352,"N=11352 (p,q,r,s)=(4935,6944,6417,4408)"
68463994,2,9165,"N=9165 (p,q,r,s)=(1540,5952,7625,3213)",2,9165,"N=9165 (p,q,r,s)=(1540,5952,7625,3213)"
72781921,2,49500,"N=49500 (p,q,r,s)=(6844,49383,42656,117)",2,49500,"N=49500 (p,q,r,s)=(6844,49383,42656,117)"
74110033,2,383268,"N=383268 (p,q,r,s)=(31416,355355,351852,27913)",2,383268,"N=383268 (p,q,r,s)=(31416,355355,351852,27913)"
76089394,2,20415,"N=20415 (p,q,r,s)=(11928,18400,8487,2015)",2,20415,"N=20415 (p,q,r,s)=(11928,18400,8487,2015)"
78452138,2,67811,"N=67811 (p,q,r,s)=(23760,24180,44051,43631)",0,,
110734754,2,10879,"N=10879 (p,q,r,s)=(1152,6864,9727,4015)",0,,
132157457,2,820228,"N=820228 (p,q,r,s)=(306516,492615,513712,327613)",0,,
132860449,2,153000,"N=153000 (p,q,r,s)=(111276,113243,41724,39757)",2,153000,"N=153000 (p,q,r,s)=(111276,113243,41724,39757)"
138480913,2,106200,"N=106200 (p,q,r,s)=(47596,100947,58604,5253)",2,106200,"N=106200 (p,q,r,s)=(47596,100947,58604,5253)"
165755377,2,11184,"N=11184 (p,q,r,s)=(880,3465,10304,7719)",2,11184,"N=11184 (p,q,r,s)=(880,3465,10304,7719)"
177194417,2,13156,"N=13156 (p,q,r,s)=(1440,6837,11716,6319)",0,,
188309137,2,105468,"N=105468 (p,q,r,s)=(29315,46920,76153,58548)",2,105468,"N=105468 (p,q,r,s)=(29315,46920,76153,58548)"
205446529,2,192660,"N=192660 (p,q,r,s)=(8700,163009,183960,29651)",2,192660,"N=192660 (p,q,r,s)=(8700,163009,183960,29651)"
206726986,2,14355,"N=14355 (p,q,r,s)=(1440,8036,12915,6319)",2,14355,"N=14355 (p,q,r,s)=(1440,8036,12915,6319)"
224068049,2,437320,"N=437320 (p,q,r,s)=(9675,362748,427645,74572)",0,,
227386930,2,30303,"N=30303 (p,q,r,s)=(15640,26784,14663,3519)",2,30303,"N=30303 (p,q,r,s)=(15640,26784,14663,3519)"
235531969,2,454140,"N=454140 (p,q,r,s)=(11620,406617,442520,47523)",2,454140,"N=454140 (p,q,r,s)=(11620,406617,442520,47523)"
272380753,2,371124,"N=371124 (p,q,r,s)=(164703,312620,206421,58504)",2,371124,"N=371124 (p,q,r,s)=(164703,312620,206421,58504)"
274886833,2,624264,"N=624264 (p,q,r,s)=(10948,611475,613316,12789)",2,624264,"N=624264 (p,q,r,s)=(10948,611475,613316,12789)"
279885889,2,40680,"N=40680 (p,q,r,s)=(25575,33488,15105,7192)",2,40680,"N=40680 (p,q,r,s)=(25575,33488,15105,7192)"
280051297,2,912600,"N=912600 (p,q,r,s)=(73304,220647,839296,691953)",2,912600,"N=912600 (p,q,r,s)=(73304,220647,839296,691953)"
282923185,2,103896,"N=103896 (p,q,r,s)=(88968,96145,14928,7751)",2,103896,"N=103896 (p,q,r,s)=(88968,96145,14928,7751)"
283622609,2,21320,"N=21320 (p,q,r,s)=(7992,11025,13328,10295)",0,,
304823969,2,45976,"N=45976 (p,q,r,s)=(30888,37191,15088,8785)",0,,
321472561,2,20988,"N=20988 (p,q,r,s)=(8008,8619,12980,12369)",2,20988,"N=20988 (p,q,r,s)=(8008,8619,12980,12369)"
345302282,2,23069,"N=23069 (p,q,r,s)=(4560,21420,18509,1649)",0,,
367438066,2,240255,"N=240255 (p,q,r,s)=(37632,95200,202623,145055)",2,240255,"N=240255 (p,q,r,s)=(37632,95200,202623,145055)"
381866017,2,804600,"N=804600 (p,q,r,s)=(140244,642067,664356,162533)",2,804600,"N=804600 (p,q,r,s)=(140244,642067,664356,162533)"
382121681,2,28168,"N=28168 (p,q,r,s)=(9009,24288,19159,3880)",0,,
430867201,2,283920,"N=283920 (p,q,r,s)=(14155,277332,269765,6588)",2,283920,"N=283920 (p,q,r,s)=(14155,277332,269765,6588)"
500239009,2,129000,"N=129000 (p,q,r,s)=(21252,99061,107748,29939)",2,129000,"N=129000 (p,q,r,s)=(21252,99061,107748,29939)"
526910129,2,26180,"N=26180 (p,q,r,s)=(3285,24528,22895,1652)",0,,
527752033,2,859200,"N=859200 (p,q,r,s)=(55803,826804,803397,32396)",2,859200,"N=859200 (p,q,r,s)=(55803,826804,803397,32396)"
597667393,2,428400,"N=428400 (p,q,r,s)=(328083,358556,100317,69844)",2,428400,"N=428400 (p,q,r,s)=(328083,358556,100317,69844)"
624138481,2,291000,"N=291000 (p,q,r,s)=(166957,276276,124043,14724)",2,291000,"N=291000 (p,q,r,s)=(166957,276276,124043,14724)"
678265226,2,31955,"N=31955 (p,q,r,s)=(7956,21840,23999,10115)",0,,
706148626,2,60255,"N=60255 (p,q,r,s)=(40480,42504,19775,17751)",2,60255,"N=60255 (p,q,r,s)=(40480,42504,19775,17751)"
801971041,2,369096,"N=369096 (p,q,r,s)=(5523,311236,363573,57860)",2,369096,"N=369096 (p,q,r,s)=(5523,311236,363573,57860)"
1084418833,2,115752,"N=115752 (p,q,r,s)=(82824,115345,32928,407)",2,115752,"N=115752 (p,q,r,s)=(82824,115345,32928,407)"
1218540346,2,30195,"N=30195 (p,q,r,s)=(4956,6080,25239,24115)",2,30195,"N=30195 (p,q,r,s)=(4956,6080,25239,24115)"
1303985146,2,37635,"N=37635 (p,q,r,s)=(1596,35360,36039,2275)",2,37635,"N=37635 (p,q,r,s)=(1596,35360,36039,2275)"
1505243393,2,39988,"N=39988 (p,q,r,s)=(7245,19176,32743,20812)",0,,
1565761882,2,643467,"N=643467 (p,q,r,s)=(442700,452640,200767,190827)",2,643467,"N=643467 (p,q,r,s)=(442700,452640,200767,190827)"
1680874897,2,356268,"N=356268 (p,q,r,s)=(77605,287640,278663,68628)",2,356268,"N=356268 (p,q,r,s)=(77605,287640,278663,68628)"
1879502986,2,75213,"N=75213 (p,q,r,s)=(32508,67744,42705,7469)",2,75213,"N=75213 (p,q,r,s)=(32508,67744,42705,7469)"
1921281994,2,57555,"N=57555 (p,q,r,s)=(14868,47600,42687,9955)",2,57555,"N=57555 (p,q,r,s)=(14868,47600,42687,9955)"
2009563642,2,48741,"N=48741 (p,q,r,s)=(3920,47940,44821,801)",2,48741,"N=48741 (p,q,r,s)=(3920,47940,44821,801)"
2458049185,2,653016,"N=653016 (p,q,r,s)=(155788,242925,497228,410091)",2,653016,"N=653016 (p,q,r,s)=(155788,242925,497228,410091)"
2752894498,2,892671,"N=892671 (p,q,r,s)=(526592,863040,366079,29631)",2,892671,"N=892671 (p,q,r,s)=(526592,863040,366079,29631)"
2836991882,2,85709,"N=85709 (p,q,r,s)=(33660,74400,52049,11309)",0,,
3357293554,2,63705,"N=63705 (p,q,r,s)=(16632,29920,47073,33785)",2,63705,"N=63705 (p,q,r,s)=(16632,29920,47073,33785)"
3368868322,2,876537,"N=876537 (p,q,r,s)=(137760,222464,738777,654073)",2,876537,"N=876537 (p,q,r,s)=(137760,222464,738777,654073)"
3439505057,2,149464,"N=149464 (p,q,r,s)=(91080,143913,58384,5551)",0,,
3850869082,2,466653,"N=466653 (p,q,r,s)=(32436,454480,434217,12173)",2,466653,"N=466653 (p,q,r,s)=(32436,454480,434217,12173)"
4437763138,2,349401,"N=349401 (p,q,r,s)=(64960,176088,284441,173313)",2,349401,"N=349401 (p,q,r,s)=(64960,176088,284441,173313)"
4665865313,2,70448,"N=70448 (p,q,r,s)=(2145,69696,68303,752)",0,,
4825357937,2,118636,"N=118636 (p,q,r,s)=(49275,114840,69361,3796)",0,,
4917158266,2,455277,"N=455277 (p,q,r,s)=(183820,233376,271457,221901)",2,455277,"N=455277 (p,q,r,s)=(183820,233376,271457,221901)"
5184507154,2,136335,"N=136335 (p,q,r,s)=(80960,90312,55375,46023)",2,136335,"N=136335 (p,q,r,s)=(80960,90312,55375,46023)"
5712192362,2,87419,"N=87419 (p,q,r,s)=(24948,44880,62471,42539)",0,,
6105016481,2,855140,"N=855140 (p,q,r,s)=(78900,200007,776240,655133)",0,,
6452776906,2,209565,"N=209565 (p,q,r,s)=(151340,154224,58225,55341)",2,209565,"N=209565 (p,q,r,s)=(151340,154224,58225,55341)"
6847726817,2,336700,"N=336700 (p,q,r,s)=(28404,60753,308296,275947)",0,,
7075122314,2,103309,"N=103309 (p,q,r,s)=(20592,88044,82717,15265)",0,,
8102383666,2,628815,"N=628815 (p,q,r,s)=(8160,520168,620655,108647)",2,628815,"N=628815 (p,q,r,s)=(8160,520168,620655,108647)"
8557084769,2,142820,"N=142820 (p,q,r,s)=(50715,134232,92105,8588)",0,,
10108458026,2,162995,"N=162995 (p,q,r,s)=(77220,110544,85775,52451)",0,,
10500191290,2,110523,"N=110523 (p,q,r,s)=(24684,54560,85839,55963)",2,110523,"N=110523 (p,q,r,s)=(24684,54560,85839,55963)"
10569876346,2,81795,"N=81795 (p,q,r,s)=(2560,16284,79235,65511)",2,81795,"N=81795 (p,q,r,s)=(2560,16284,79235,65511)"
10786447610,2,175421,"N=175421 (p,q,r,s)=(71568,174420,103853,1001)",0,,
11636649169,2,124620,"N=124620 (p,q,r,s)=(41195,56232,83425,68388)",2,124620,"N=124620 (p,q,r,s)=(41195,56232,83425,68388)"
12619021073,2,139672,"N=139672 (p,q,r,s)=(36225,95880,103447,43792)",0,,
14152435522,2,139359,"N=139359 (p,q,r,s)=(24960,106720,114399,32639)",2,139359,"N=139359 (p,q,r,s)=(24960,106720,114399,32639)"
17185033121,2,819500,"N=819500 (p,q,r,s)=(179172,679479,640328,140021)",0,,
17782861594,2,946941,"N=946941 (p,q,r,s)=(317408,727260,629533,219681)",2,946941,"N=946941 (p,q,r,s)=(317408,727260,629533,219681)"
18141145009,2,210540,"N=210540 (p,q,r,s)=(88893,152720,121647,57820)",2,210540,"N=210540 (p,q,r,s)=(88893,152720,121647,57820)"
18686960114,2,242209,"N=242209 (p,q,r,s)=(130944,162792,111265,79417)",0,,
18799881409,2,657000,"N=657000 (p,q,r,s)=(100804,256197,556196,400803)",2,657000,"N=657000 (p,q,r,s)=(100804,256197,556196,400803)"
19665113434,2,240555,"N=240555 (p,q,r,s)=(108108,194480,132447,46075)",2,240555,"N=240555 (p,q,r,s)=(108108,194480,132447,46075)"
20185255729,2,153804,"N=153804 (p,q,r,s)=(45552,61789,108252,92015)",2,153804,"N=153804 (p,q,r,s)=(45552,61789,108252,92015)"
20477593201,2,687000,"N=687000 (p,q,r,s)=(62964,336973,624036,350027)",2,687000,"N=687000 (p,q,r,s)=(62964,336973,624036,350027)"
20764486009,2,977244,"N=977244 (p,q,r,s)=(256872,963965,720372,13279)",2,977244,"N=977244 (p,q,r,s)=(256872,963965,720372,13279)"
21066750401,2,574000,"N=574000 (p,q,r,s)=(24804,99603,549196,474397)",0,,
21088711562,2,144989,"N=144989 (p,q,r,s)=(3660,111600,141329,33389)",0,,
25543958794,2,193251,"N=193251 (p,q,r,s)=(49588,123216,143663,70035)",2,193251,"N=193251 (p,q,r,s)=(49588,123216,143663,70035)"
26471643514,2,218595,"N=218595 (p,q,r,s)=(66912,159740,151683,58855)",2,218595,"N=218595 (p,q,r,s)=(66912,159740,151683,58855)"
27381046586,2,193325,"N=193325 (p,q,r,s)=(55440,101844,137885,91481)",0,,
28966549681,2,253080,"N=253080 (p,q,r,s)=(90321,203320,162759,49760)",2,253080,"N=253080 (p,q,r,s)=(90321,203320,162759,49760)"
31516305466,2,190515,"N=190515 (p,q,r,s)=(13244,180960,177271,9555)",2,190515,"N=190515 (p,q,r,s)=(13244,180960,177271,9555)"
33541574497,2,219816,"N=219816 (p,q,r,s)=(36855,211640,182961,8176)",2,219816,"N=219816 (p,q,r,s)=(36855,211640,182961,8176)"
34523363954,2,171665,"N=171665 (p,q,r,s)=(30888,50400,140777,121265)",0,,
34748346529,2,219096,"N=219096 (p,q,r,s)=(55536,129673,163560,89423)",2,219096,"N=219096 (p,q,r,s)=(55536,129673,163560,89423)"
36044240257,2,136764,"N=136764 (p,q,r,s)=(1365,3680,135399,133084)",2,136764,"N=136764 (p,q,r,s)=(1365,3680,135399,133084)"
36374748106,2,167475,"N=167475 (p,q,r,s)=(9840,60116,157635,107359)",2,167475,"N=167475 (p,q,r,s)=(9840,60116,157635,107359)"
38323458385,2,297648,"N=297648 (p,q,r,s)=(104664,264775,192984,32873)",2,297648,"N=297648 (p,q,r,s)=(104664,264775,192984,32873)"
38836731889,2,452016,"N=452016 (p,q,r,s)=(259831,408408,192185,43608)",2,452016,"N=452016 (p,q,r,s)=(259831,408408,192185,43608)"
41641965985,2,205656,"N=205656 (p,q,r,s)=(1673,199920,203983,5736)",2,205656,"N=205656 (p,q,r,s)=(1673,199920,203983,5736)"
46499976497,2,259616,"N=259616 (p,q,r,s)=(95175,120120,164441,139496)",0,,
46940046994,2,211665,"N=211665 (p,q,r,s)=(26880,98552,184785,113113)",2,211665,"N=211665 (p,q,r,s)=(26880,98552,184785,113113)"
56303794642,2,275751,"N=275751 (p,q,r,s)=(38720,264792,237031,10959)",2,275751,"N=275751 (p,q,r,s)=(38720,264792,237031,10959)"
60139997857,2,380856,"N=380856 (p,q,r,s)=(139080,339815,241776,41041)",2,380856,"N=380856 (p,q,r,s)=(139080,339815,241776,41041)"
62513326906,2,663165,"N=663165 (p,q,r,s)=(413140,662256,250025,909)",2,663165,"N=663165 (p,q,r,s)=(413140,662256,250025,909)"
62932136033,2,257992,"N=257992 (p,q,r,s)=(44055,126984,213937,131008)",0,,
78438740257,2,702636,"N=702636 (p,q,r,s)=(483395,528360,219241,174276)",2,702636,"N=702636 (p,q,r,s)=(483395,528360,219241,174276)"
87081510338,2,329593,"N=329593 (p,q,r,s)=(77376,176400,252217,153193)",0,,
87124773194,2,383045,"N=383045 (p,q,r,s)=(101232,295260,281813,87785)",0,,
90462641441,2,424060,"N=424060 (p,q,r,s)=(135315,339864,288745,84196)",0,,
98815457233,2,657492,"N=657492 (p,q,r,s)=(386400,498355,271092,159137)",2,657492,"N=657492 (p,q,r,s)=(386400,498355,271092,159137)"
104902808369,2,698960,"N=698960 (p,q,r,s)=(392535,594048,306425,104912)",0,,
105011553362,2,342839,"N=342839 (p,q,r,s)=(23520,287640,319319,55199)",0,,
114159492490,2,401523,"N=401523 (p,q,r,s)=(97284,254560,304239,146963)",2,401523,"N=401523 (p,q,r,s)=(97284,254560,304239,146963)"
114872737970,2,723217,"N=723217 (p,q,r,s)=(384480,711816,338737,11401)",0,,
117909313474,2,347361,"N=347361 (p,q,r,s)=(4576,327168,342785,20193)",2,347361,"N=347361 (p,q,r,s)=(4576,327168,342785,20193)"
147194869082,2,458549,"N=458549 (p,q,r,s)=(86580,364560,371969,93989)",0,,
167965057402,2,543099,"N=543099 (p,q,r,s)=(134288,514140,408811,28959)",2,543099,"N=543099 (p,q,r,s)=(134288,514140,408811,28959)"
172388190769,2,353400,"N=353400 (p,q,r,s)=(25912,98175,327488,255225)",2,353400,"N=353400 (p,q,r,s)=(25912,98175,327488,255225)"
182992683634,2,733305,"N=733305 (p,q,r,s)=(329120,593208,404185,140097)",2,733305,"N=733305 (p,q,r,s)=(329120,593208,404185,140097)"
185499027442,2,647361,"N=647361 (p,q,r,s)=(245960,491232,401401,156129)",2,647361,"N=647361 (p,q,r,s)=(245960,491232,401401,156129)"
191593063418,2,483923,"N=483923 (p,q,r,s)=(125580,232560,358343,251363)",0,,
192454175218,2,831537,"N=831537 (p,q,r,s)=(402280,741024,429257,90513)",2,831537,"N=831537 (p,q,r,s)=(402280,741024,429257,90513)"
225946851106,2,519585,"N=519585 (p,q,r,s)=(87360,321776,432225,197809)",2,519585,"N=519585 (p,q,r,s)=(87360,321776,432225,197809)"
258775019234,2,468785,"N=468785 (p,q,r,s)=(32832,206640,435953,262145)",0,,
280366697585,2,468716,"N=468716 (p,q,r,s)=(10920,202653,457796,266063)",0,,
285591577210,2,580899,"N=580899 (p,q,r,s)=(57792,471580,523107,109319)",2,580899,"N=580899 (p,q,r,s)=(57792,471580,523107,109319)"
295238733154,2,731871,"N=731871 (p,q,r,s)=(294448,409536,437423,322335)",2,731871,"N=731871 (p,q,r,s)=(294448,409536,437423,322335)"
324874302146,2,731335,"N=731335 (p,q,r,s)=(162624,693360,568711,37975)",0,,
340189489921,2,962340,"N=962340 (p,q,r,s)=(524875,576576,437465,385764)",2,962340,"N=962340 (p,q,r,s)=(524875,576576,437465,385764)"
359026923082,2,574461,"N=574461 (p,q,r,s)=(65212,258720,509249,315741)",2,574461,"N=574461 (p,q,r,s)=(65212,258720,509249,315741)"
364914464426,2,506555,"N=506555 (p,q,r,s)=(43680,118404,462875,388151)",0,,
407326072273,2,715128,"N=715128 (p,q,r,s)=(100815,542080,614313,173048)",2,715128,"N=715128 (p,q,r,s)=(100815,542080,614313,173048)"
415225568122,2,965181,"N=965181 (p,q,r,s)=(449972,578160,515209,387021)",2,965181,"N=965181 (p,q,r,s)=(449972,578160,515209,387021)"
416747895370,2,598653,"N=598653 (p,q,r,s)=(79744,214620,518909,384033)",2,598653,"N=598653 (p,q,r,s)=(79744,214620,518909,384033)"
425104180673,2,672112,"N=672112 (p,q,r,s)=(180495,243840,491617,428272)",0,,
455408092897,2,669456,"N=669456 (p,q,r,s)=(164560,221697,504896,447759)",2,669456,"N=669456 (p,q,r,s)=(164560,221697,504896,447759)"
509644750906,2,766755,"N=766755 (p,q,r,s)=(54096,724780,712659,41975)",2,766755,"N=766755 (p,q,r,s)=(54096,724780,712659,41975)"
519438651313,2,700848,"N=700848 (p,q,r,s)=(22345,457800,678503,243048)",2,700848,"N=700848 (p,q,r,s)=(22345,457800,678503,243048)"
639915670210,2,771807,"N=771807 (p,q,r,s)=(136576,285600,635231,486207)",2,771807,"N=771807 (p,q,r,s)=(136576,285600,635231,486207)"
745126431442,2,673569,"N=673569 (p,q,r,s)=(30360,97888,643209,575681)",2,673569,"N=673569 (p,q,r,s)=(30360,97888,643209,575681)"
848013757466,2,725995,"N=725995 (p,q,r,s)=(62400,87516,663595,638479)",0,,
918950399809,2,844056,"N=844056 (p,q,r,s)=(22496,350103,821560,493953)",2,844056,"N=844056 (p,q,r,s)=(22496,350103,821560,493953)"
